case_id,seeds_evaluated,comparable_seeds,both_improved_seeds,hd95_improved_seeds,boundary_dice_improved_seeds,mean_hd95_reduction_mm,std_hd95_reduction_mm,mean_boundary_dice_gain,std_boundary_dice_gain,seed42_hd95_improvement,seed42_boundary_dice_improvement,seed42_all_models_boundary_valid,seed55_hd95_improvement,seed55_boundary_dice_improvement,seed55_all_models_boundary_valid,seed123_hd95_improvement,seed123_boundary_dice_improvement,seed123_all_models_boundary_valid,all_seeds_both_improved
BraTS20_Training_223,3,3,2,2,3,0.6666666666666666,0.8224834854518072,0.042838550356094164,0.04425737785952364,0.4142135623730951,0.0228879733633374,True,0.0,0.0120683316983983,True,1.5857864376269049,0.0935593460065468,True,False
BraTS20_Training_030,3,3,2,3,2,10.142147959215158,2.488100959711393,0.04001050943231833,0.10358902623816689,11.50734842702952,-0.0655630666923674,True,11.648798087355758,0.0441007742598807,True,7.270297363260196,0.1414938207294417,True,False
BraTS20_Training_337,3,3,2,2,3,0.4093445458793215,0.3848984102664559,0.032919957948264134,0.02751922354583056,0.7639320225002102,0.0295386269993778,True,0.0,0.0072476445036281,True,0.4641016151377544,0.0619736023417865,True,False
BraTS20_Training_339,3,3,2,2,2,0.9254962615813039,1.4410116057145876,0.02946838452190013,0.04641594858111368,0.0,-0.0048480143742991,True,0.1907023471170066,0.010972287485813,True,2.585786437626905,0.0822808804541865,True,False
BraTS20_Training_200,3,3,2,2,2,0.2867694465591744,0.29662769814315054,0.02158071842929,0.046097588131702304,0.2679491924311228,0.0039791328180882,True,0.0,-0.0131228077408006,True,0.5923591472464005,0.0738858302105824,True,False
BraTS20_Training_174,3,3,2,2,2,0.15737865166652654,0.13629391035655417,0.010839596357442733,0.021136028474939502,0.0,-0.0049367186173575,True,0.2360679774997898,0.0026012968856911,True,0.2360679774997898,0.0348542108039946,True,False
BraTS20_Training_089,3,3,2,2,3,0.24422539193023832,0.5139891140476227,0.006022069652455033,0.007960630301250864,0.0713001490717957,0.0151142573600305,True,-0.1610003581180663,0.0003051953705538,True,0.8223763848369856,0.0026467562267808,True,False
BraTS20_Training_058,3,3,2,3,2,5.405006336922093,0.644370975659097,0.0030134056831874353,0.034736830731397016,5.24323239448597,-0.0348447594851284,True,4.856937150738574,0.0104656896358403,True,6.114849465541735,0.0334192868988504,True,False
BraTS20_Training_261,3,3,1,1,2,2.389015671365718,5.057233786594291,0.12144185041980914,0.19954008724418726,-1.0311342986557186,-0.0555295944415937,True,0.0,0.0821501210244217,True,8.198181312752872,0.3377050246765994,True,False
BraTS20_Training_231,3,3,1,2,2,0.9922734526508771,3.1815775725424307,0.08855080483359352,0.10279835250044259,0.1361061113099522,0.1962767490315441,True,-1.6736158828344827,0.0778600690306486,True,4.514330129477162,-0.0084844035614121,True,False
BraTS20_Training_248,3,3,1,1,3,0.1680057233103042,0.29099444873580577,0.049419898551563236,0.058684574856554046,0.0,0.001028443061308,True,0.0,0.0325354656014662,True,0.5040171699309126,0.1146957869919155,True,False
BraTS20_Training_093,3,3,1,1,2,0.47140452079103173,0.816496580927726,0.04391209076224247,0.06002092057587228,0.0,-0.005798276872066,True,0.0,0.0269441898172514,True,1.4142135623730951,0.110590359341542,True,False
BraTS20_Training_131,3,3,1,1,3,0.22470947164746402,1.0388162391977127,0.03994712984017353,0.016804557789924124,-0.5040171699309126,0.0252548624882292,True,-0.2360679774997898,0.0363161909301079,True,1.4142135623730945,0.0582703361021835,True,False
BraTS20_Training_309,3,3,1,2,2,2.716423816795881,14.089108111280396,0.03573422271925574,0.06596072853685314,17.627505118940647,0.0523332634089835,True,-10.373627298546545,0.091809942919558,True,0.8953936299935403,-0.0369405381707743,True,False
BraTS20_Training_360,3,3,1,1,2,-4.956673516340023,9.484369912832388,0.0138713795220012,0.020274250501516964,1.7639320225002102,0.0131537424177997,True,-0.8284271247461903,-0.0060345245032803,True,-15.805525446774087,0.0344949206514842,True,False
BraTS20_Training_340,3,3,1,1,2,0.13807118745769836,0.23914631173810028,0.012484159394367568,0.017691088490817047,0.0,0.0055416536189075,True,0.0,-0.0006826712060388,True,0.4142135623730951,0.032593495770234,True,False
BraTS20_Training_035,3,3,1,2,1,0.9672165068241491,0.9444111985035323,0.0117393427742896,0.055430164726754605,1.8870376481178708,-0.0367897103071253,True,0.0,-0.0001375393031111,True,1.0146118723545765,0.0721452779331052,True,False
BraTS20_Training_323,3,3,1,1,3,-0.06328471870956065,2.6519174268446037,0.0028965280220706,0.003546168780225409,-0.1447607012546186,0.001357312521208,True,2.6284318252871017,0.0003800401029765,True,-2.673525280161165,0.0069522314420273,True,False
BraTS20_Training_021,3,3,1,1,1,0.33663215409153,2.4544180552978463,-0.003154063284011077,0.1503203773888218,-0.913230262027751,-0.0991351276807163,True,-1.241287278666635,-0.0804110552778534,True,3.164414002968976,0.1700839931065365,True,False
BraTS20_Training_205,3,3,1,2,1,0.13807118745769836,0.47829262347620055,-0.013024819641435467,0.04386240441329673,0.4142135623730951,0.0247078043818957,True,-0.4142135623730951,-0.0611502726888704,True,0.4142135623730951,-0.0026319906173317,True,False
BraTS20_Training_193,3,2,1,2,1,24.24819886024244,31.566586020590535,0.1113126079447323,0.15741979981855955,46.56914589431048,0.2226252158894646,True,47.77723320987235,0.0077488094277181,False,1.9272518261743985,0.0,True,False
BraTS20_Training_216,3,3,0,0,0,-0.5620360294398663,0.6992810893424767,-0.0397313149069109,0.02783901754833509,-0.1543471301870203,-0.031637454465769,True,-0.1622776601683795,-0.0168361226159573,True,-1.369483297964199,-0.0707203676390064,True,False
