seed,protocol,case_id,gt_et_voxels,small_gt_lesions,baseline_pred_et_voxels,baseline_et_dice,baseline_hd95_mm,baseline_boundary_dice,baseline_boundary_valid,baseline_small_detected_lesions,baseline_small_missed_lesions,baseline_small_gt_anchored_dice,lhfc_pred_et_voxels,lhfc_et_dice,lhfc_hd95_mm,lhfc_boundary_dice,lhfc_boundary_valid,lhfc_small_detected_lesions,lhfc_small_missed_lesions,lhfc_small_gt_anchored_dice,full_pred_et_voxels,full_et_dice,full_hd95_mm,full_boundary_dice,full_boundary_valid,full_small_detected_lesions,full_small_missed_lesions,full_small_gt_anchored_dice,small_detection_gain,small_dice_gain,et_dice_gain,hd95_improvement,boundary_dice_improvement,all_models_boundary_valid,regression_score
55,main_experiment,BraTS20_Training_038,26254,0,25981,0.736938834115057,8.324616783644835,0.7769741697416974,True,0,0,,25938,0.7700413856529736,2.8284271247461903,0.8389445273101783,True,0,0,,26405,0.790899941130671,2.23606797749979,0.8581861783300633,True,0,0,,0,,0.0539611070156139,6.088548806145045,0.0812120085883658,True,-2.0939603641263544
55,main_experiment,BraTS20_Training_058,6708,0,12968,0.5668835129091279,15.811388300841896,0.527537688442211,True,0,0,,12596,0.5864069622876088,11.74734012447073,0.5768372093023256,True,0,0,,13805,0.5525276653829279,10.954451150103322,0.5380033780780514,True,0,0,,0,,-0.0143558475262,4.856937150738574,0.0104656896358403,True,-1.0150589430750616
55,main_experiment,BraTS20_Training_060,16172,0,17983,0.8176840872493046,1.4142135623730951,0.922429435483871,True,0,0,,16994,0.8417053609117772,1.0,0.9579212720573976,True,0,0,,17197,0.8377835715784111,1.0,0.9571755316560416,True,0,0,,0,,0.0200994843291064,0.4142135623730951,0.0347460961721706,True,0.115153416621925
55,main_experiment,BraTS20_Training_071,11713,0,8951,0.8312040263259776,5.744562646538029,0.7364375461936438,True,0,0,,9337,0.8457957244655582,4.318208553793146,0.7904040404040404,True,0,0,,9194,0.8412493423255369,5.0,0.7712071192765897,True,0,0,,0,,0.0100453159995593,0.7445626465380286,0.0347695730829459,True,0.0130417259417107
55,main_experiment,BraTS20_Training_089,18581,1,17327,0.9568898295644424,62.808436609048165,0.9269811614510354,True,0,1,0.0,16759,0.945217883418223,62.96943696716623,0.9270693512304252,True,0,1,0.0,16698,0.9446979789676578,62.96943696716623,0.9272863568215892,True,0,1,0.0,0,0.0,-0.0121918505967846,-0.1610003581180663,0.0003051953705538,True,0.632873562332338
55,main_experiment,BraTS20_Training_093,24337,1,25450,0.9433386225319864,1.4142135623730951,0.9420902975241,True,0,1,0.0,25042,0.9523886672472104,1.0,0.9768690349946978,True,1,0,0.0571428571428571,25495,0.948466848611334,1.4142135623730951,0.9690344873413516,True,0,1,0.0,0,0.0,0.0051282260793478,0.0,0.0269441898172514,True,0.3199906456794126
55,main_experiment,BraTS20_Training_101,13927,3,13418,0.8324739440482721,6.708203932499369,0.8445336008024072,True,0,3,0.0,12415,0.8684989750208792,6.4031242374328485,0.8893638976929313,True,0,3,0.0,12936,0.8653538324088895,5.916079783099616,0.8915777859507171,True,0,3,0.0,0,0.0,0.0328798883606173,0.7921241493997533,0.0470441851483098,True,-0.1229165185554473
55,main_experiment,BraTS20_Training_103,37271,0,31757,0.8553050935852118,3.0,0.8421588594704684,True,0,0,,34804,0.899091224419008,2.23606797749979,0.9059312697679376,True,0,0,,33894,0.8935291224618843,2.23606797749979,0.8987938793879388,True,0,0,,0,,0.0382240288766725,0.7639320225002102,0.0566350199174703,True,-0.2089928733792554
55,main_experiment,BraTS20_Training_112,48172,1,49097,0.9433632503675374,1.4142135623730951,0.9509717780198924,True,0,1,0.0,48160,0.9589544491965288,1.0,0.9861967792484914,True,0,1,0.0,48853,0.9555681525380056,1.0,0.9764015777230892,True,0,1,0.0,0,0.0,0.0122049021704682,0.4142135623730951,0.0254297997031969,True,0.2072114065898691
55,main_experiment,BraTS20_Training_131,8067,0,7646,0.8740533316362248,2.0,0.8937754921085299,True,0,0,,8196,0.8855684683022812,2.449489742783178,0.9315558445781174,True,0,0,,8252,0.8887799497518231,2.23606797749979,0.930091683038638,True,0,0,,0,,0.0147266181155982,-0.2360679774997898,0.0363161909301079,True,0.3001856151571155
55,main_experiment,BraTS20_Training_139,4467,0,4121,0.8728458313926409,2.8284271247461903,0.8538461538461538,True,0,0,,4151,0.8895335344627524,1.4142135623730951,0.9313923320841742,True,0,0,,4060,0.8781517532543685,1.4142135623730951,0.9020937776467118,True,0,0,,0,,0.0053059218617275,1.4142135623730951,0.048247623800558,True,-0.3266606356061942
55,main_experiment,BraTS20_Training_155,29300,1,26360,0.9101688825008984,1.7320508075688772,0.9303888147818784,True,0,1,0.0,26513,0.9344776306595236,1.4142135623730951,0.9634451445515196,True,0,1,0.0,25562,0.9137107651926653,1.4142135623730951,0.9500047032264132,True,0,1,0.0,0,0.0,0.0035418826917669,0.317837245195782,0.0196158884445348,True,0.2943834210109695
55,main_experiment,BraTS20_Training_174,25207,1,23947,0.930178622289132,2.23606797749979,0.9128413712957584,True,0,1,0.0,23958,0.9328587409742704,1.7320508075688772,0.9217426381605486,True,0,1,0.0,23838,0.9311448669589152,2.0,0.9154426681814494,True,0,1,0.0,0,0.0,0.0009662446697832,0.2360679774997898,0.0026012968856911,True,0.4877289470510472
55,main_experiment,BraTS20_Training_193,29758,0,553,0.0,79.22878260851947,0.0,True,0,0,,0,0.0,,,False,0,0,,32,0.0021483719368915,31.451549398647117,0.0077488094277181,True,0,0,,0,,0.0021483719368915,47.77723320987235,0.0077488094277181,False,-14.224837991395267
55,main_experiment,BraTS20_Training_200,4539,0,4352,0.8950624226746148,2.0,0.9153184165232358,True,0,0,,4333,0.8866095581605049,2.0,0.9076770350761084,True,0,0,,4290,0.8854909955827387,2.0,0.9021956087824352,True,0,0,,0,,-0.009571427091876,0.0,-0.0131228077408006,True,0.7159084088730452
55,main_experiment,BraTS20_Training_205,4439,0,3772,0.906832298136646,1.0,0.9681528662420382,True,0,0,,3512,0.8776254559174946,1.4142135623730951,0.9413489736070382,True,0,0,,3391,0.8628352490421456,1.4142135623730951,0.9070025935531678,True,0,0,,0,,-0.0439970490945004,-0.4142135623730951,-0.0611502726888704,True,1.318230205081834
